Category: All categories

Week,fortnite: (Worldwide)
2017-05-07,<1
2017-05-14,<1
2017-05-21,<1
2017-05-28,<1
2017-06-04,<1
2017-06-11,<1
2017-06-18,<1
2017-06-25,<1
2017-07-02,<1
2017-07-09,1
2017-07-16,3
2017-07-23,5
2017-07-30,3
2017-08-06,2
2017-08-13,1
2017-08-20,1
2017-08-27,1
2017-09-03,1
2017-09-10,1
2017-09-17,1
2017-09-24,6
2017-10-01,7
2017-10-08,6
2017-10-15,5
2017-10-22,7
2017-10-29,7
2017-11-05,6
2017-11-12,6
2017-11-19,6
2017-11-26,8
2017-12-03,11
2017-12-10,11
2017-12-17,11
2017-12-24,12
2017-12-31,12
2018-01-07,15
2018-01-14,25
2018-01-21,28
2018-01-28,26
2018-02-04,26
2018-02-11,29
2018-02-18,37
2018-02-25,46
2018-03-04,45
2018-03-11,75
2018-03-18,68
2018-03-25,72
2018-04-01,70
2018-04-08,81
2018-04-15,68
2018-04-22,64
2018-04-29,100
